Brand:,Model:,Trim / Edition:,Year of Manufacture:,Registration year:,Condition:,Transmission:,Body type:,Fuel type:,Engine capacity:,Kilometers run:,Price
Toyota,Axio,G Fielder,2013,2021,Used,Automatic,Estate,"Hybrid, Octane","1,500 cc","54,000 km","1,590,000"
Toyota,C-HR,G Led,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","42,861 km","3,380,000"
Toyota,Axio,.,2008,2012,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","65,000 km","1,440,000"
Toyota,C-HR,G LED Dhaka Stock,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","77,007 km","3,350,000"
Toyota,Mark II,gx100,1997,2000,Used,Automatic,Saloon,"Petrol, CNG, Octane","2,000 cc","200,000 km","800,000"
Toyota,Corona,Premio,1996,2001,Used,Automatic,Saloon,"CNG, Octane","1,580 cc","90,000 km","394,999"
Toyota,Noah,Si Wxb Non Hybrid,2014,2017,Used,Automatic,MPV,"Petrol, Octane","2,000 cc","87,000 km","3,000,000"
Toyota,Prado,Land Cruiser TX-L,2014,2015,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","47,000 km","9,350,000"
BMW,X5,M sports Package,2018,2018,Used,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","2,000 cc","10,348 km","13,500,000"
Toyota,Land Cruiser,Prado.Tx-L.Ltd.,2011,2014,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","51,800 km","7,150,000"
BMW,7 Series,740LE,2018,2019,Used,Automatic,Saloon,"Petrol, Electric","2,000 cc","47,000 km","16,500,000"
Nissan,Juke,G.Push.Red.,2011,2016,Used,Automatic,SUV / 4x4,"Octane, LPG","1,500 cc","51,000 km","1,350,000"
Toyota,Premio,G Superior,2014,2018,Used,Automatic,Saloon,Octane,"1,500 cc","56,235 km","2,665,000"
Toyota,Hiace,SUPER GL COBRA BLACK,2018,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","68,000 km","4,100,000"
Toyota,Premio,F-EX PKG BRAND NEW,2020,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","2,191 km","4,350,000"
Toyota,Noah,.,2002,2005,Used,Automatic,MPV,"Petrol, CNG, Octane","1,998 cc","200,000 km","960,000"
Toyota,Corolla,AXIO G WXB ED HY NEW,2019,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc",96 km,"3,350,000"
Toyota,Axio,super,2013,2018,Used,Automatic,Saloon,"CNG, Octane","1,320 cc","72,650 km","1,650,000"
Toyota,Axio,X,2016,2021,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","50,100 km","1,960,000"
Toyota,Fielder,wxb,2014,2018,Used,Automatic,Hatchback,Hybrid,"1,500 cc","67,000 km","1,725,000"
Toyota,Corolla,white,2001,2005,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","880,000"
Toyota,Auris,push start,2011,2017,Used,Automatic,Hatchback,Octane,"1,500 cc","57,000 km","1,525,000"
Honda,Fit,ex,2014,2018,Used,Automatic,Hatchback,Hybrid,"1,500 cc","46,000 km","1,495,000"
Toyota,Vitz,push start,2012,2018,Used,Automatic,Hatchback,"Octane, LPG","1,329 cc","52,000 km","1,280,000"
Toyota,Premio,F,2006,2010,Used,Automatic,Saloon,Octane,"1,500 cc","92,000 km","1,400,000"
Toyota,Esquire,GI Premium,2015,2020,Used,Automatic,MPV,"Hybrid, Octane","1,800 cc","79,000 km","2,780,000"
Toyota,Corolla,.,1997,2000,Used,Automatic,Saloon,"Petrol, Octane, LPG","1,331 cc","38,000 km","450,000"
Toyota,Axio,G PACKAGE,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc","61,000 km","2,650,000"
Toyota,Axio,G Fielder,2013,2021,Used,Automatic,Estate,"Hybrid, Octane","1,500 cc","54,000 km","1,590,000"
Toyota,Noah,x,2005,2010,Used,Automatic,MPV,"CNG, Octane","2,000 cc","98,000 km","1,290,000"
Nissan,Juke,push start,2011,2016,Used,Automatic,SUV / 4x4,"Octane, LPG","1,500 cc","52,000 km","1,350,000"
Toyota,Premio,push start,2012,2016,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","75,000 km","2,250,000"
